Number,treatment,ant colony,day eclosed,death date,total days alive,totaldaysnumonly
35,??,A,3.14,3.17,3,3
66,??,?,3.17,3.25,8,8
37,alaniphila,A,3.14,3.21,7,7
39,alaniphila,A,3.15,3.22,7,7
46,alaniphila,A,3.15,3.29,14,14
51,alaniphila,A,3.16,3.26,10,10
52,alaniphila,C,3.16,3.22,6,6
60,alaniphila,A,3.17,3.22,5,5
126,alaniphila,C,3.2,3.23,3,3
164,alaniphila,C,3.22,4.3,12,12
165,alaniphila,A,3.22,3.25,3,3
166,alaniphila,C,3.22,4.3,12,12
182,alaniphila,C,3.23,4.1,9,9
183,alaniphila,C,3.23,4.3,11,11
197,alaniphila,C,3.23,4.3,11,11
198,alaniphila,C,3.23,4.3,11,11
221,alaniphila,A,3.24,3.29,5,5
315,alaniphila,B,3.28,3.3,2,2
327,alaniphila,E,3.28,4.1,4,4
339,alaniphila,A,3.29,3.3,1,1
76,alni,A,3.17,3.31,14,14
77,alni,A,3.17,3.31,14,14
82,alni,A,3.18,3.23,5,5
83,alni,A,3.18,4.1,14,14
95,alni,C,3.18,3.19,1,1
98,alni,A,3.18,3.23,5,5
104,alni,A,3.19,3.22,3,3
105,alni,C,3.19,4.2,14,14
109,alni,C,3.19,4.2,14,14
176,alni,C,3.23,4.3,11,11
184,alni,C,3.23,3.24,1,1
185,alni,C,3.23,4.2,10,10
219,alni,A,3.24,4.1,8,8
220,alni,A,3.24,3.26,2,2
277,alni,A,3.27,3.29,2,2
308,alni,C,3.28,3.3,2,2
309,alni,C,3.28,4.9,12,12
119,antarctica,A,3.2,4.3,14,14
146,antarctica,A,3.21,3.27,6,6
148,antarctica,A,3.21,3.24,3,3
149,antarctica,A,3.21,3.24,3,3
203,antarctica,C,3.24,4.3,10,10
229,antarctica,C,3.25,4.8,14,14
230,antarctica,C,3.25,4.8,14,14
270,antarctica,A,3.26,4.1,6,6
285,antarctica,C,3.27,3.3,3,3
286,antarctica,A,3.27,3.3,3,3
310,antarctica,C,3.28,3.3,2,2
311,antarctica,C,3.28,3.3,2,2
337,antarctica,A,3.29,3.31,2,2
338,antarctica,A,3.29,4.1,3,3
78,CC,A,3.17,3.27,10,10
92,CC,A,3.18,3.21,3,3
93,CC,A,3.18,4.1,14,14
106,CC,A,3.19,3.24,5,5
215,CC,C,3.24,3.3,6,6
216,CC,C,3.24,4.3,10,10
228,CC,A,3.24,3.27,3,3
237,CC,C,3.25,4.8,14,14
238,CC,C,3.25,4.8,14,14
281,CC,C,3.27,3.31,4,4
291,CC,A,3.27,4.1,5,5
292,CC,A,3.27,4.9,13,13
312,CC,A,3.28,3.29,1,1
340,CC,A,3.29,4.3,5,5
343,CC,C,3.29,4.9,11,11
118,chloroethenenvirons,A,3.2,4.3,14,14
133,chloroethenenvirons,A,3.2,3.25,5,5
134,chloroethenenvirons,A,3.2,4.2,13,13
205,chloroethenenvirons,C,3.24,4.3,10,10
224,chloroethenenvirons,C,3.24,3.27,3,3
225,chloroethenenvirons,C,3.24,3.27,3,3
